"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes"
"idBank";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";"";"010767602";""
"Mises à jour";"03/04/2026 08:45";"";"05/03/2026 08:45";"";"05/02/2026 08:45";"";"09/01/2026 08:45";"";"05/12/2025 08:45";"";"05/11/2025 08:45";"";"03/10/2025 08:45";"";"09/09/2025 08:45";"";"05/08/2025 08:45";"";"04/07/2025 08:45";"";"06/06/2025 08:45";"";"06/05/2025 08:45";"";"04/04/2025 08:45";"";"05/03/2025 08:45";"";"05/02/2025 08:45";"";"10/01/2025 08:45";"";"05/12/2024 08:45";"";"05/11/2024 08:45";"";"04/10/2024 08:45";"";"06/09/2024 08:45";"";"02/08/2024 08:45";"";"05/07/2024 08:45";"";"05/06/2024 08:45";"";"03/05/2024 08:45";"";"05/04/2024 08:45";"";"05/03/2024 08:45";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1990-01";"83.3";"A";"83.31";"A";"83.31";"A";"83.31";"A";"83.31";"A";"83.31";"A";"83.31";"A";"83.3";"A";"83.3";"A";"83.3";"A";"83.3";"A";"83.3";"A";"83.3";"A";"83.3";"A";"83.22";"A";"83.22";"A";"83.22";"A";"83.22";"A";"83.22";"A";"83.22";"A";"83.21";"A";"83.22";"A";"83.21";"A";"83.21";"A";"83.21";"A";"83.22";"A"
"1990-02";"89.15";"A";"89.15";"A";"89.16";"A";"89.15";"A";"89.15";"A";"89.15";"A";"89.15";"A";"89.15";"A";"89.14";"A";"89.15";"A";"89.15";"A";"89.15";"A";"89.15";"A";"89.15";"A";"89.06";"A";"89.05";"A";"89.05";"A";"89.05";"A";"89.05";"A";"89.06";"A";"89.05";"A";"89.05";"A";"89.04";"A";"89.04";"A";"89.04";"A";"89.05";"A"
"1990-03";"89.57";"A";"89.57";"A";"89.57";"A";"89.57";"A";"89.57";"A";"89.57";"A";"89.57";"A";"89.56";"A";"89.56";"A";"89.57";"A";"89.57";"A";"89.57";"A";"89.57";"A";"89.56";"A";"89.47";"A";"89.47";"A";"89.47";"A";"89.47";"A";"89.47";"A";"89.47";"A";"89.46";"A";"89.47";"A";"89.46";"A";"89.45";"A";"89.46";"A";"89.47";"A"
"1990-04";"90.93";"A";"90.93";"A";"90.94";"A";"90.93";"A";"90.93";"A";"90.93";"A";"90.93";"A";"90.92";"A";"90.92";"A";"90.93";"A";"90.93";"A";"90.93";"A";"90.93";"A";"90.93";"A";"90.84";"A";"90.84";"A";"90.84";"A";"90.84";"A";"90.84";"A";"90.84";"A";"90.83";"A";"90.84";"A";"90.83";"A";"90.82";"A";"90.82";"A";"90.84";"A"
"1990-05";"93.37";"A";"93.37";"A";"93.38";"A";"93.37";"A";"93.37";"A";"93.37";"A";"93.37";"A";"93.37";"A";"93.36";"A";"93.37";"A";"93.37";"A";"93.37";"A";"93.37";"A";"93.37";"A";"93.27";"A";"93.27";"A";"93.27";"A";"93.27";"A";"93.27";"A";"93.28";"A";"93.26";"A";"93.27";"A";"93.26";"A";"93.25";"A";"93.26";"A";"93.27";"A"
"1990-06";"89.29";"A";"89.29";"A";"89.3";"A";"89.29";"A";"89.29";"A";"89.29";"A";"89.29";"A";"89.28";"A";"89.28";"A";"89.29";"A";"89.29";"A";"89.29";"A";"89.29";"A";"89.29";"A";"89.22";"A";"89.21";"A";"89.22";"A";"89.21";"A";"89.21";"A";"89.22";"A";"89.21";"A";"89.21";"A";"89.2";"A";"89.2";"A";"89.2";"A";"89.22";"A"
"1990-07";"90.21";"A";"90.22";"A";"90.22";"A";"90.22";"A";"90.22";"A";"90.22";"A";"90.22";"A";"90.21";"A";"90.21";"A";"90.22";"A";"90.22";"A";"90.22";"A";"90.22";"A";"90.21";"A";"90.12";"A";"90.12";"A";"90.12";"A";"90.12";"A";"90.12";"A";"90.12";"A";"90.11";"A";"90.11";"A";"90.11";"A";"90.1";"A";"90.1";"A";"90.12";"A"
"1990-08";"90.28";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.27";"A";"90.27";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.27";"A";"90.19";"A";"90.18";"A";"90.18";"A";"90.18";"A";"90.18";"A";"90.19";"A";"90.18";"A";"90.18";"A";"90.17";"A";"90.17";"A";"90.17";"A";"90.18";"A"
"1990-09";"88.6";"A";"88.6";"A";"88.61";"A";"88.61";"A";"88.61";"A";"88.61";"A";"88.61";"A";"88.6";"A";"88.6";"A";"88.61";"A";"88.6";"A";"88.61";"A";"88.6";"A";"88.6";"A";"88.51";"A";"88.51";"A";"88.51";"A";"88.51";"A";"88.51";"A";"88.51";"A";"88.5";"A";"88.51";"A";"88.5";"A";"88.49";"A";"88.49";"A";"88.51";"A"
